Reportin+A5+A1:J1+A1:L2,Project Status,Donor,Programme Organization,Programme Organization Type,Implementing agency Name ,Implementing agency Acronym,Implementing agencyType,Region,Zone,Woreda,Kebele/IDP site name,HNO Woreda Pcode,Response Plan,Sector,ClusterActivities
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Dehab Tesfay Women&#39;s Tranning Center,ET010108,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Kate Ware,ET041497,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,Kubura,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Maichew town,Agazi,ET010409,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Dungo,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,KG,ET010213,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,KG,ET010213,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Balambal,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Tsehaye Elementary school,ET010108,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Birbirsa kojowa,Edera darsa,ET041596,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Hayelom Kebele,ET010212,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,Kubura ,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,sate,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Hare kedir ,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Gelana (West Guji),Samalo,ET041517,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Raya Azebo,Tsigea,ET010406,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Debrichi Kebele,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Dehab Tesfay Women&#39;s Tranning Center,ET010108,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Debrichi kebele,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,70 kare,ET0107,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Soloda,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Raya Azebo,Tsigea,ET010406,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Hambela Wamena,Dimtu,ET041509,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Darara,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,High School,ET010309,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,70kare,ET0107,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,sate,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Dungo,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Haya Anani,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Hibret Elemtary School,ET010108,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Kuni,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Preparatory School,ET010309,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Bura Dera,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Maichew town,Musie,ET010409,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawelti,ET0107,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Chercher,Weyraweha,ET010414,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Balambal,ET041413,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Nigste Saba,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Nigstesaba No2,ET010212,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kaleb,ET010213,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Meserete,ET0107,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Kuni,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawelti,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Kercha,Gurachu,ET041502,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Hibret Elemtary School,ET010108,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Abay Tsehaye Kebele,ET010213,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Kuni,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Jidola,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,World Vision KG,ET010309,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Raya Azebo,Rural Hawelty,ET010406,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adihaki,ET0107,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adi Shiduhun,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Balambal,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hayelom Kebele,ET010213,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Arda Wakora,ET041497,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet,ET010309,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Hayelom Kebele,ET010212,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adi-Haki,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Dehab Tesfay Womens Tranning Center,ET010108,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet Primary school,ET010309,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Abay Tsehaye HC,ET010213,Emergency Response,Protection,CP_Case_Management_not_FTR
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Haya Anani,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Hambela Wamena,Goro badesa,ET041509,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawelti,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adihaki,ET0107,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Hara Qalo,ET041413,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Negele  Town,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Enqot KG,ET010309,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngste saba No1 secondary School,ET010212,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Araya-Kahsu,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adishumdihun,ET0107,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Guji,Birbirsa kojowa,Edera darsa,ET041596,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Adwa elementary,ET010212,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hayelom,ET010213,Emergency Response,Protection,CP_Case_Management_not_FTR
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Axum high school,ET010213,Emergency Response,Protection,GBV_Dignity_kits
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,KG,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Hare kedir ,ET042105,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Maichew town,Musie,ET010409,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Hare kedir ,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Tsehaye Elementary school,ET010108,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele 05,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Meserete,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Hara Kadir,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Wellega,Boji Dirmeji,Amuma Henna,ET040106,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Araya Kahsu,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Negele  Town,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Hara Qalo,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Hara Qalo,ET041413,Emergency Response,Protection,CP_Parenting_support_for_caregivers
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawelty,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Wellega,Boji Dirmeji,Hidhabu Tobi,ET040106,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Maichew town,Hintset,ET010409,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Kuni,ET042105,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,Kubura,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet,ET010309,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Darara,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,Kubura ,ET042104,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Semen,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Jidola,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Maichew town,Hintset,ET010409,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Hara Qalo,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Arda Wakora,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Nigste Saba,ET010213,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Soloda,ET010212,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adi-Haki,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele 04,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Rayitu,Kubura ,ET042104,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Welwalo,ET010308,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Southern,Chercher,Weyraweha,ET010414,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Welwalo,ET010308,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNOCHA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Adishundhun,ET0107,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawlti,ET0107,Emergency Response,Protection,GBV_Psychosocial_Support
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,North Western,Indasilassie town,Midregenet Secondary School,ET010108,Emergency Response,Protection,CP_MHPSS
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,West Wellega,Boji Dirmeji,Darro Dimtu,ET040106,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation 
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hayelom,ET010213,Emergency Response,Protection,GBV_Prevention_and_risk_mitigation
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Arda Wakora,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Negele  Town,ET041497,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Hara Kedir,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,70 kare,ET0107,Emergency Response,Protection,GBV_Capacity_building
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Mekelle,Mekelle,Hawelti,ET0107,Emergency Response,Protection,GBV_Capacity_building
February,On-going,UNICEF,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hayelom Kebele,ET010213,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,East Bale,Seweyna,Kuni,ET042105,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele 04,ET010308,Emergency Response,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Darara,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Arda Wakora,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Dungo,ET041407,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Hara Qalo,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gora Dola,Jidola,ET041413,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Kate Ware,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Gumi Idalo,Negele  Town,ET041497,Emergency Response,Protection,CP_MHPSS
February,On-going,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,Oromia,Guji,Liben,Bura Dera,ET041407,Emergency Response,Protection,CP_MHPSS
